id,Natoms,percent_atom_al,percent_atom_ga,percent_atom_in,vol_per_atom,a,b,c,alpha,gamma,beta,a_b,b_c,a_c,ecn_bond_dist_Al-O,ecn_bond_dist_Ga-O,ecn_bond_dist_In-O,Unnamed: 23,Unnamed: 24,Ef,atomic_predE,abs_error,error,sq_error,norm_abs_error,sum_Ef_and_normalized_error,sum_pred_Ef_and_abs_error
2,80,0.75,0.25,0.0,9.599033817999999,9.893821445,9.129793555,8.501439815,90.00381777,90.00157689,90.00236558,1.0836851220000001,1.07391145,1.163781861,1.7962327930000002,1.7962285519999999,0.0,,,0.0591,0.095759154,0.036659154,0.036659154,0.0013438935719957159,0.6202902538071066,0.7160494078071066,0.13241830799999998
3,30,0.666666667,0.166666667,0.166666667,9.654028289,13.47991219,4.9810648539999995,4.980771717,120.0014788,89.98999962,90.010937,2.7062310139999997,1.0000588540000002,2.7063902860000004,1.937362241,1.937398621,1.937325865,,,0.1763,0.21800934,0.041709339999999984,0.041709339999999984,0.0017396690432355986,0.2365816222348269,0.45459096223482687,0.25971868
7,30,0.333333333,0.666666667,0.0,9.624292309,13.4593253,4.977225563,4.976814077,120.00054240000001,89.995212,90.00617042,2.7041823060000003,1.0000826809999999,2.704405889,1.9356239119999998,1.935623909,0.0,,,0.0689,0.096545965,0.027645964999999995,0.027645964999999995,0.0007642993807812247,0.40124767779390413,0.49779364279390415,0.12419192999999999
8,80,0.1875,0.6875,0.125,10.73991325,10.29545153,9.450526229,8.830582872,89.99885189,90.00135218,90.00143421,1.0894051059999998,1.070204127,1.16588584,1.8663016080000001,1.8652534109999999,1.868726736,,,0.1371,0.150348651,0.013248651,0.013248651,0.000175526753319801,0.09663494529540481,0.2469835962954048,0.163597302
9,80,0.3125,0.6875,0.0,10.18138122,10.09837286,9.296770363,8.675872899,89.99957546,90.00193072,90.00211323,1.08622376,1.071565994,1.163960443,1.808516494,1.843011045,0.0,,,0.073,0.094688846,0.021688845999999998,0.021688845999999998,0.0004704060408117159,0.2971074794520548,0.3917963254520548,0.11637769199999999
10,80,0.75,0.0,0.25,10.08950929,9.311076111,9.310829675,9.310473611,90.00164172,89.99932838,90.00266602,1.000026468,1.0000382429999999,1.0000647120000001,1.966934224,0.0,1.975596645,,,0.2529,0.30190836,0.04900835999999997,0.04900835999999997,0.0024018193498895972,0.19378552787663098,0.49569388787663093,0.35091671999999996
11,30,0.166666667,0.5,0.333333333,10.82519998,13.91621027,5.191274541,5.190803358,120.00063519999999,89.99797036,90.00236375,2.680692412,1.000090773,2.680935745,2.015371106,2.015349065,2.015338045,,,0.2144,0.255574193,0.041174193,0.041174193,0.0016953141692012488,0.19204381063432835,0.44761800363432835,0.296748386
13,80,0.25,0.3125,0.4375,11.62960266,24.47333092,6.625338113,6.624993291,119.9913384,90.01040947,90.00328788,3.693899164,1.000052049,3.694091427,2.04795565,2.047839909,2.0479060469999997,,,0.3244,0.23798631,0.08641369000000002,-0.08641369000000002,0.007467325819416103,0.26638005548705307,0.504366365487053,0.3244
14,40,0.4375,0.5625,0.0,10.33929438,14.22967985,9.975772166,5.776534014,30.29262659,90.72965421,90.84782701,1.426423901,1.726947706,2.463359484,1.981394335,1.9268227009999999,0.0,,,0.0903,0.102808035,0.012508035,0.012508035,0.00015645093956122503,0.13851644518272424,0.24132448018272423,0.11531607
15,80,0.03125,0.09375,0.875,13.13471178,10.16660805,10.16641646,10.16638512,89.99876531,90.00091285,90.00087629999999,1.000018845,1.000003083,1.000021928,2.1429898130000002,2.15243703,2.150079793,,,0.0624,0.137516101,0.075116101,0.075116101,0.005642428629442202,1.203783669871795,1.341299770871795,0.212632202
16,80,0.9375,0.03125,0.03125,9.484678083,23.4342707,6.114940467,6.114525225,120.00553670000001,90.00721772,90.0037332,3.83229744,1.000067911,3.832557695,1.8898923090000002,2.03299476,2.03299476,,,0.2129,0.130853317,0.08204668300000001,-0.08204668300000001,0.00673165819130249,0.38537662282761864,0.5162299398276187,0.2129
17,80,0.25,0.375,0.375,11.16761511,9.631398555,9.631215675,9.631190286,90.00285717,90.00289092,89.99676425,1.0000189879999999,1.0000026359999998,1.0000216240000002,2.036866564,2.0346286630000003,2.039101876,,,0.1877,0.236310683,0.04861068299999999,0.04861068299999999,0.002362998501726488,0.25898072988811927,0.4952914128881193,0.28492136599999995
18,80,0.4375,0.3125,0.25,10.52141909,9.442010062,9.441717651,9.441670513,90.00291866,89.99716821,90.00322663,1.00003097,1.000004993,1.000035963,1.995858605,1.995474565,2.000087057,,,0.217,0.21795340000000002,0.0009534000000000209,0.0009534000000000209,9.089715600000399e-07,0.004393548387096871,0.2223469483870969,0.21890680000000004
