id,Natoms,percent_atom_al,percent_atom_ga,percent_atom_in,vol_per_atom,a,b,c,alpha,gamma,beta,a_b,b_c,a_c,ecn_bond_dist_Al-O,ecn_bond_dist_Ga-O,ecn_bond_dist_In-O,Ef,mbtr_predE,soap_predE,ngram_predE,atomic_predE,,
1,80,0.1875,0.46875,0.34375,11.44184319,10.53806824,9.636107541,9.014119971,89.9997186,90.00060116,90.00029582,1.093602183,1.069001475,1.169062346,1.929609048,1.906606014,1.894562655,0.2284,0.239462,0.24018281,0.2379923,0.250095785,,
2,80,0.75,0.25,0,9.599033818,9.893821445,9.129793555,8.501439815,90.00381777,90.00157689,90.00236558,1.083685122,1.07391145,1.163781861,1.796232793,1.796228552,0,0.0591,0.064232438,0.05298044,0.062719945,0.095759154,,
3,30,0.666666667,0.166666667,0.166666667,9.654028289,13.47991219,4.981064854,4.980771717,120.0014788,89.98999962,90.010937,2.706231014,1.000058854,2.706390286,1.937362241,1.937398621,1.937325865,0.1763,0.170097935,0.15501696,0.166644695,0.21800934,,
4,80,0.5625,0.4375,0,10.22654571,24.33704809,6.00908078,5.761986397,89.99949258,103.8581078,90.00022959,4.050045087,1.042883542,4.223725364,1.864728294,1.877272229,0,0.0389,0.036321483,0.0385601,0.039963592,0.102689092,,
5,80,0.1875,0.5,0.3125,11.54994259,24.64428267,6.29062899,6.158868219,90.00003043,104.5929686,90.0001276,3.917618208,1.021393666,4.001430424,1.906420315,1.913211596,1.930325624,0.147,0.134911414,0.14409196,0.137221068,0.24500208,,
6,40,1,0,0,9.276486158,9.034389263,8.401775584,4.888477483,90.00129912,90.0024096,90.00610793,1.075295236,1.718689636,1.848098778,1.775664145,0,0,0.0423,0.030446699,0.04551858,0.045321339,0.127431297,,
7,30,0.333333333,0.666666667,0,9.624292309,13.4593253,4.977225563,4.976814077,120.0005424,89.995212,90.00617042,2.704182306,1.000082681,2.704405889,1.935623912,1.935623909,0,0.0689,0.073767549,0.06856953,0.075453407,0.096545965,,
8,80,0.1875,0.6875,0.125,10.73991325,10.29545153,9.450526229,8.830582872,89.99885189,90.00135218,90.00143421,1.089405106,1.070204127,1.16588584,1.866301608,1.865253411,1.868726736,0.1371,0.130164167,0.13462901,0.132216174,0.150348651,,
9,80,0.3125,0.6875,0,10.18138122,10.09837286,9.296770363,8.675872899,89.99957546,90.00193072,90.00211323,1.08622376,1.071565994,1.163960443,1.808516494,1.843011045,0,0.073,0.07818671,0.07553876,0.071805449,0.094688846,,
10,80,0.75,0,0.25,10.08950929,9.311076111,9.310829675,9.310473611,90.00164172,89.99932838,90.00266602,1.000026468,1.000038243,1.000064712,1.966934224,0,1.975596645,0.2529,0.262644099,0.26116304,0.24324444,0.30190836,,
11,30,0.166666667,0.5,0.333333333,10.82519998,13.91621027,5.191274541,5.190803358,120.0006352,89.99797036,90.00236375,2.680692412,1.000090773,2.680935745,2.015371106,2.015349065,2.015338045,0.2144,0.198819437,0.20759643,0.174398956,0.255574193,,
12,30,0.25,0.666666667,0.083333333,9.971685512,13.59432975,5.041048332,5.040606716,120.000469,89.99673186,90.00445672,2.696726723,1.000087612,2.696962988,1.95934718,1.959360162,1.959399049,0.1214,0.120436093,0.11639953,0.120860742,0.136179998,,
13,80,0.25,0.3125,0.4375,11.62960266,24.47333092,6.625338113,6.624993291,119.9913384,90.01040947,90.00328788,3.693899164,1.000052049,3.694091427,2.04795565,2.047839909,2.047906047,0.3244,0.334950371,0.31970357,0.332251682,0.23798631,,
14,40,0.4375,0.5625,0,10.33929438,14.22967985,9.975772166,5.776534014,30.29262659,90.72965421,90.84782701,1.426423901,1.726947706,2.463359484,1.981394335,1.926822701,0,0.0903,0.144331673,0.13646796,0.07540485,0.102808035,,
15,80,0.03125,0.09375,0.875,13.13471178,10.16660805,10.16641646,10.16638512,89.99876531,90.00091285,90.0008763,1.000018845,1.000003083,1.000021928,2.142989813,2.15243703,2.150079793,0.0624,0.062159956,0.0597423,0.074719778,0.137516101,,
16,80,0.9375,0.03125,0.03125,9.484678083,23.4342707,6.114940467,6.114525225,120.0055367,90.00721772,90.0037332,3.83229744,1.000067911,3.832557695,1.889892309,2.03299476,2.03299476,0.2129,0.225598056,0.22307706,0.214437737,0.130853317,,
17,80,0.25,0.375,0.375,11.16761511,9.631398555,9.631215675,9.631190286,90.00285717,90.00289092,89.99676425,1.000018988,1.000002636,1.000021624,2.036866564,2.034628663,2.039101876,0.1877,0.20025495,0.20437132,0.208814182,0.236310683,,
18,80,0.4375,0.3125,0.25,10.52141909,9.442010062,9.441717651,9.441670513,90.00291866,89.99716821,90.00322663,1.00003097,1.000004993,1.000035963,1.995858605,1.995474565,2.000087057,0.217,0.220245309,0.21081435,0.212477766,0.2179534,,
19,80,0.53125,0.03125,0.4375,11.22302702,24.2617205,6.536954248,6.536524367,119.9941226,90.01585993,90.01259008,3.71147167,1.000065766,3.711715759,2.077170076,1.886855924,1.963851049,0.3406,0.508102017,0.51767437,0.491632134,0.307035461,,
20,80,0.25,0.28125,0.46875,11.88328344,24.53807496,6.36030134,6.306635194,90.00000268,105.016305,90.00011907,3.858005093,1.008509474,3.890834685,1.922197247,1.909852671,1.918317523,0.2267,0.219005737,0.21050426,0.237682154,0.238112609,,
21,40,0,0.875,0.125,11.00580623,9.522099869,8.905346959,5.191564782,90.00137072,90.00116567,89.9969272,1.069256472,1.715349289,1.834148329,0,1.88312843,1.868627626,0.0819,0.089052379,0.07750717,0.085163748,0.095195357,,
22,80,0.59375,0.28125,0.125,10.1786163,10.10550893,9.295464404,8.668609687,90.00286445,90.00122796,90.00190259,1.087144062,1.072313178,1.165758904,1.846009882,1.806331708,1.826835393,0.1436,0.138097312,0.14049128,0.129752376,0.206322441,,
23,80,0.34375,0.28125,0.375,11.49753965,24.46537383,6.28116951,6.191199181,89.99986972,104.8096343,90.0001454,3.895034801,1.014531971,3.951637335,1.89838974,1.89046421,1.924713821,0.127,0.12634797,0.13997327,0.121548704,0.237687033,,
24,80,0.75,0.09375,0.15625,10.0617795,10.06712591,9.26234026,8.632539078,90.00447188,90.00106576,90.00194473,1.086887938,1.072956656,1.166183648,1.823433272,1.836901034,1.828191389,0.2016,0.192551411,0.1917469,0.200047989,0.205343441,,
25,80,0.34375,0.65625,0,10.51355203,24.56436456,6.07129481,5.806790959,89.99975675,103.7800013,90.00019342,4.045984478,1.045550779,4.230282222,1.874468883,1.895060954,0,0.0297,0.025468358,0.02628643,0.031712975,0.097418097,,
26,80,0,0.25,0.75,13.03547493,24.7237663,6.646894016,6.58880912,90.00034821,90.00004771,105.6108468,3.719596888,1.00881569,3.7523877,0,1.946621198,1.947221398,0.1281,0.124094279,0.13633917,0.130367953,0.183562495,,
27,80,0.28125,0.15625,0.5625,12.03092789,10.73687961,9.785905639,9.160306471,90.00143056,90.00039324,89.99923391,1.097177922,1.068294567,1.172109213,1.949465521,1.922941684,1.939944687,0.2643,0.2637444,0.2736978,0.279958462,0.262368628,,
28,30,0.25,0.333333333,0.416666667,10.96022989,13.96807747,5.213835882,5.213394156,120.0009231,89.99661903,90.00347118,2.679040497,1.000084729,2.679267489,2.023855982,2.023869617,2.023877815,0.235,0.235612895,0.22847004,0.205316906,0.237928804,,
29,80,0,0.40625,0.59375,12.23969472,9.930127864,9.93011005,9.930055415,90.00223053,90.00254024,89.99663698,1.000001794,1.000005502,1.000007296,0,2.101662238,2.09897178,0.1146,0.119067141,0.11360123,0.131784416,0.119528151,,
30,30,0.333333333,0.166666667,0.5,11.0963793,14.0199455,5.236398118,5.235985742,120.00121,89.99525994,90.00458268,2.677402517,1.000078758,2.677613384,2.032357845,2.032330461,2.032421734,0.2301,0.233616179,0.22279803,0.224004923,0.263939836,,
31,40,0.1875,0.0625,0.75,12.82525339,9.980773093,9.355035529,5.494350016,90.00034219,89.99777278,90.00109958,1.066887781,1.702664647,1.816552106,2.014460598,2.027686267,1.971069918,0.2622,0.249923375,0.24774924,0.259684413,0.229581427,,
