id,Natoms,percent_atom_al,percent_atom_ga,percent_atom_in,vol_per_atom,a,b,c,alpha,gamma,beta,a_b,b_c,a_c,ecn_bond_dist_Al-O,ecn_bond_dist_Ga-O,ecn_bond_dist_In-O,Unnamed: 23,Unnamed: 24,Ef,mbtr_predE,abs_error,error,sq_error,norm_abs_error,sum_Ef_and_normalized_error,sum_pred_Ef_and_abs_error
1,80,0.1875,0.46875,0.34375,11.44184319,10.53806824,9.636107541,9.014119971,89.9997186,90.00060116,90.00029582,1.093602183,1.069001475,1.169062346,1.929609048,1.906606014,1.894562655,,,0.2284,0.23946199999999998,0.011061999999999989,0.011061999999999989,0.00012236784399999973,0.04843257443082307,0.28789457443082306,0.25052399999999997
2,80,0.75,0.25,0.0,9.599033817999999,9.893821445,9.129793555,8.501439815,90.00381777,90.00157689,90.00236558,1.0836851220000001,1.07391145,1.163781861,1.7962327930000002,1.7962285519999999,0.0,,,0.0591,0.064232438,0.005132438000000003,0.005132438000000003,2.6341919823844033e-05,0.08684328257191207,0.15107572057191207,0.069364876
3,30,0.666666667,0.166666667,0.166666667,9.654028289,13.47991219,4.9810648539999995,4.980771717,120.0014788,89.98999962,90.010937,2.7062310139999997,1.0000588540000002,2.7063902860000004,1.937362241,1.937398621,1.937325865,,,0.1763,0.170097935,0.006202065000000007,-0.006202065000000007,3.8465610264225084e-05,0.03517904140669317,0.20527697640669318,0.1763
5,80,0.1875,0.5,0.3125,11.54994259,24.64428267,6.29062899,6.1588682189999995,90.00003043,104.59296859999999,90.0001276,3.917618208,1.021393666,4.001430424,1.906420315,1.913211596,1.930325624,,,0.147,0.134911414,0.012088585999999985,-0.012088585999999985,0.00014613391147939563,0.08223527891156453,0.21714669291156452,0.147
6,40,1.0,0.0,0.0,9.276486157999999,9.034389263,8.401775584,4.888477483,90.00129912,90.0024096,90.00610793,1.0752952359999999,1.718689636,1.8480987780000002,1.775664145,0.0,0.0,,,0.0423,0.030446699,0.011853300999999997,-0.011853300999999997,0.00014050074459660093,0.2802198817966903,0.3106665807966903,0.0423
7,30,0.333333333,0.666666667,0.0,9.624292309,13.4593253,4.977225563,4.976814077,120.00054240000001,89.995212,90.00617042,2.7041823060000003,1.0000826809999999,2.704405889,1.9356239119999998,1.935623909,0.0,,,0.0689,0.073767549,0.004867548999999999,0.004867548999999999,2.369303326740099e-05,0.07064657474600869,0.1444141237460087,0.078635098
9,80,0.3125,0.6875,0.0,10.18138122,10.09837286,9.296770363,8.675872899,89.99957546,90.00193072,90.00211323,1.08622376,1.071565994,1.163960443,1.808516494,1.843011045,0.0,,,0.073,0.07818671,0.005186710000000011,0.005186710000000011,2.6901960624100115e-05,0.07105082191780837,0.14923753191780836,0.08337342000000002
10,80,0.75,0.0,0.25,10.08950929,9.311076111,9.310829675,9.310473611,90.00164172,89.99932838,90.00266602,1.000026468,1.0000382429999999,1.0000647120000001,1.966934224,0.0,1.975596645,,,0.2529,0.26264409899999996,0.00974409899999995,0.00974409899999995,9.494746532180004e-05,0.038529454329774414,0.30117355332977436,0.2723881979999999
13,80,0.25,0.3125,0.4375,11.62960266,24.47333092,6.625338113,6.624993291,119.9913384,90.01040947,90.00328788,3.693899164,1.000052049,3.694091427,2.04795565,2.047839909,2.0479060469999997,,,0.3244,0.334950371,0.010550371000000003,0.010550371000000003,0.00011131032823764106,0.03252272194821209,0.3674730929482121,0.345500742
14,40,0.4375,0.5625,0.0,10.33929438,14.22967985,9.975772166,5.776534014,30.29262659,90.72965421,90.84782701,1.426423901,1.726947706,2.463359484,1.981394335,1.9268227009999999,0.0,,,0.0903,0.144331673,0.05403167299999999,0.05403167299999999,0.0029194216871789276,0.5983573975636765,0.7426890705636764,0.198363346
15,80,0.03125,0.09375,0.875,13.13471178,10.16660805,10.16641646,10.16638512,89.99876531,90.00091285,90.00087629999999,1.000018845,1.000003083,1.000021928,2.1429898130000002,2.15243703,2.150079793,,,0.0624,0.062159955999999995,0.00024004400000000176,-0.00024004400000000176,5.762112193600084e-08,0.0038468589743590026,0.066006814974359,0.0624
16,80,0.9375,0.03125,0.03125,9.484678083,23.4342707,6.114940467,6.114525225,120.00553670000001,90.00721772,90.0037332,3.83229744,1.000067911,3.832557695,1.8898923090000002,2.03299476,2.03299476,,,0.2129,0.22559805600000002,0.012698056000000013,0.012698056000000013,0.00016124062617913634,0.059643287928605036,0.28524134392860506,0.23829611200000003
17,80,0.25,0.375,0.375,11.16761511,9.631398555,9.631215675,9.631190286,90.00285717,90.00289092,89.99676425,1.0000189879999999,1.0000026359999998,1.0000216240000002,2.036866564,2.0346286630000003,2.039101876,,,0.1877,0.20025495,0.012554949999999981,0.012554949999999981,0.00015762676950249952,0.06688838572189654,0.2671433357218965,0.21280989999999997
18,80,0.4375,0.3125,0.25,10.52141909,9.442010062,9.441717651,9.441670513,90.00291866,89.99716821,90.00322663,1.00003097,1.000004993,1.000035963,1.995858605,1.995474565,2.000087057,,,0.217,0.22024530899999997,0.003245308999999974,0.003245308999999974,1.0532030505480832e-05,0.014955341013824765,0.23520065001382473,0.22349061799999995
19,80,0.53125,0.03125,0.4375,11.22302702,24.2617205,6.536954248,6.536524367,119.9941226,90.01585993,90.01259008,3.71147167,1.0000657659999999,3.7117157589999996,2.077170076,1.886855924,1.963851049,,,0.3406,0.508102017,0.167502017,0.167502017,0.02805692569906829,0.4917851350557839,0.9998871520557839,0.675604034
20,80,0.25,0.28125,0.46875,11.88328344,24.53807496,6.36030134,6.306635194,90.00000268,105.016305,90.00011907,3.858005093,1.008509474,3.890834685,1.922197247,1.909852671,1.918317523,,,0.2267,0.219005737,0.007694263000000007,-0.007694263000000007,5.9201683113169104e-05,0.03394028672254083,0.2529460237225408,0.2267
21,40,0.0,0.875,0.125,11.00580623,9.522099869,8.905346959,5.1915647819999995,90.00137072,90.00116567,89.9969272,1.069256472,1.7153492890000002,1.834148329,0.0,1.88312843,1.8686276259999999,,,0.0819,0.089052379,0.007152379,0.007152379,5.1156525359641006e-05,0.08733063492063492,0.17638301392063493,0.096204758
22,80,0.59375,0.28125,0.125,10.1786163,10.10550893,9.295464404,8.668609687,90.00286445,90.00122796,90.00190259,1.0871440620000001,1.072313178,1.165758904,1.846009882,1.806331708,1.826835393,,,0.1436,0.138097312,0.005502688000000006,-0.005502688000000006,3.027957522534406e-05,0.038319554317548785,0.17641686631754877,0.1436
23,80,0.34375,0.28125,0.375,11.49753965,24.46537383,6.28116951,6.191199181,89.99986972,104.8096343,90.00014540000001,3.8950348010000004,1.014531971,3.951637335,1.89838974,1.89046421,1.9247138209999999,,,0.127,0.12634797,0.0006520299999999979,-0.0006520299999999979,4.251431208999972e-07,0.005134094488188959,0.13148206448818897,0.127
24,80,0.75,0.09375,0.15625,10.0617795,10.06712591,9.26234026,8.632539077999999,90.00447188,90.00106576,90.00194473,1.086887938,1.072956656,1.166183648,1.823433272,1.836901034,1.8281913890000001,,,0.2016,0.192551411,0.009048588999999996,-0.009048588999999996,8.187696289092093e-05,0.04488387400793649,0.23743528500793648,0.2016
25,80,0.34375,0.65625,0.0,10.51355203,24.56436456,6.07129481,5.806790959,89.99975675,103.7800013,90.00019342,4.045984478,1.045550779,4.230282222,1.874468883,1.895060954,0.0,,,0.0297,0.025468357999999996,0.004231642000000004,-0.004231642000000004,1.7906794016164034e-05,0.14247952861952876,0.16794788661952875,0.0297
26,80,0.0,0.25,0.75,13.03547493,24.7237663,6.646894016,6.58880912,90.00034821,90.00004771,105.61084679999999,3.7195968880000003,1.00881569,3.7523877,0.0,1.946621198,1.9472213980000002,,,0.1281,0.124094279,0.00400572099999999,-0.00400572099999999,1.604580072984092e-05,0.03127026541764239,0.1553645444176424,0.1281
