@relation wpo_1_0_0 caption="WPO 1.0.0" description="generated from mbtr/random_state_4/split_6/.csv"
@attribute id numeric
@attribute Natoms numeric
@attribute percent_atom_al numeric
@attribute percent_atom_ga numeric
@attribute percent_atom_in numeric
@attribute vol_per_atom numeric
@attribute a numeric
@attribute b numeric
@attribute c numeric
@attribute alpha numeric
@attribute beta numeric
@attribute gamma numeric
@attribute a_b numeric
@attribute b_c numeric
@attribute a_c numeric
@attribute ecn_bond_dist_Al-Ga numeric
@attribute ecn_bond_dist_Al-In numeric
@attribute ecn_bond_dist_Al-O numeric
@attribute ecn_bond_dist_Ga-Al numeric
@attribute ecn_bond_dist_Ga-In numeric
@attribute ecn_bond_dist_Ga-O numeric
@attribute ecn_bond_dist_In-Al numeric
@attribute ecn_bond_dist_In-Ga numeric
@attribute ecn_bond_dist_In-O numeric
@attribute ecn_bond_dist_O-Al numeric
@attribute ecn_bond_dist_O-Ga numeric
@attribute ecn_bond_dist_O-In numeric
@attribute Ef numeric
@attribute mbtr_predE numeric
@attribute abs_error numeric
@attribute error numeric
@attribute sq_error numeric
@attribute norm_abs_error numeric
@attribute sum_Ef_and_normalized_error numeric
@attribute sum_pred_Ef_and_abs_error numeric
@data
1,80,0.1875,0.46875,0.34375,11.44184319,10.53806824,9.636107541,9.014119971,89.9997186,90.00060116,90.00029582,1.093602183,1.069001475,1.169062346,3.129306068,3.279839111,1.929609048,3.27676679,3.317035175,1.906606014,3.314568321,3.241823202,1.894562655,1.19444015,1.800664587,1.384024981,0.2284,0.239462,0.011062,0.011062,0.000122367844,0.0484325744308,0.287894574431,0.250524
2,80,0.75,0.25,0.0,9.599033818,9.893821445,9.129793555,8.501439815,90.00381777,90.00157689,90.00236558,1.083685122,1.07391145,1.163781861,3.050626298,0.0,1.796232793,2.951190239,0.0,1.796228552,0.0,0.0,0.0,1.84303484,1.22793466,0.0,0.0591,0.064232438,0.005132438,0.005132438,2.63419198238e-05,0.0868432825719,0.151075720572,0.069364876
4,80,0.5625,0.4375,0.0,10.22654571,24.33704809,6.00908078,5.761986397,89.99949258,103.8581078,90.00022959,4.050045087,1.042883542,4.223725364,3.117103688,0.0,1.864728294,3.074627382,0.0,1.877272229,0.0,0.0,0.0,1.75066531,1.702444572,0.0,0.0389,0.036321483,0.002578517,-0.002578517,6.64874991929e-06,0.0662857840617,0.102607267062,0.0389
5,80,0.1875,0.5,0.3125,11.54994259,24.64428267,6.29062899,6.158868219,90.00003043,104.5929686,90.0001276,3.917618208,1.021393666,4.001430424,3.183124436,3.390086892,1.906420315,2.455953849,3.297044913,1.913211596,3.396728388,3.224584543,1.930325624,0.98013503,1.793225826,1.460469427,0.147,0.134911414,0.012088586,-0.012088586,0.000146133911479,0.0822352789116,0.217146692912,0.147
6,40,1.0,0.0,0.0,9.276486158,9.034389263,8.401775584,4.888477483,90.00129912,90.0024096,90.00610793,1.075295236,1.718689636,1.848098778,0.0,0.0,1.775664145,0.0,0.0,0.0,0.0,0.0,0.0,1.802762108,0.0,0.0,0.0423,0.030446699,0.011853301,-0.011853301,0.000140500744597,0.280219881797,0.310666580797,0.0423
7,30,0.333333333,0.666666667,0.0,9.624292309,13.4593253,4.977225563,4.976814077,120.0005424,89.995212,90.00617042,2.704182306,1.000082681,2.704405889,2.833783047,0.0,1.935623912,2.620920823,0.0,1.935623909,0.0,0.0,0.0,1.974830805,1.935678699,0.0,0.0689,0.073767549,0.004867549,0.004867549,2.36930332674e-05,0.070646574746,0.144414123746,0.078635098
8,80,0.1875,0.6875,0.125,10.73991325,10.29545153,9.450526229,8.830582872,89.99885189,90.00135218,90.00143421,1.089405106,1.070204127,1.16588584,3.077234392,3.308003317,1.866301608,3.261747276,2.673062148,1.865253411,3.248026202,3.080584391,1.868726736,1.095682895,1.793488499,0.738772112,0.1371,0.130164167,0.006935833,-0.006935833,4.81057794039e-05,0.050589591539,0.180753758539,0.1371
9,80,0.3125,0.6875,0.0,10.18138122,10.09837286,9.296770363,8.675872899,89.99957546,90.00193072,90.00211323,1.08622376,1.071565994,1.163960443,3.054100009,0.0,1.808516494,3.1558065,0.0,1.843011045,0.0,0.0,0.0,1.547328962,1.861450469,0.0,0.073,0.07818671,0.00518671,0.00518671,2.69019606241e-05,0.0710508219178,0.149237531918,0.08337342
10,80,0.75,0.0,0.25,10.08950929,9.311076111,9.310829675,9.310473611,90.00164172,89.99932838,90.00266602,1.000026468,1.000038243,1.000064712,0.0,3.007096789,1.966934224,0.0,0.0,0.0,3.084260876,0.0,1.975596645,1.969209719,0.0,1.155696422,0.2529,0.262644099,0.009744099,0.009744099,9.49474653218e-05,0.0385294543298,0.30117355333,0.272388198
11,30,0.166666667,0.5,0.333333333,10.82519998,13.91621027,5.191274541,5.190803358,120.0006352,89.99797036,90.00236375,2.680692412,1.000090773,2.680935745,3.042329135,2.843248752,2.015371106,1.596369567,3.100514717,2.015349065,2.295014168,2.942788944,2.015338045,1.382841339,2.054620005,2.074253074,0.2144,0.198819437,0.015580563,-0.015580563,0.000242753943397,0.0726705363806,0.271489973381,0.2144
