@relation wpo_1_0_0 caption="WPO 1.0.0" description="generated from ngram/random_state_14/split_1/.csv"
@attribute id numeric
@attribute Natoms numeric
@attribute percent_atom_al numeric
@attribute percent_atom_ga numeric
@attribute percent_atom_in numeric
@attribute vol_per_atom numeric
@attribute a numeric
@attribute b numeric
@attribute c numeric
@attribute alpha numeric
@attribute gamma numeric
@attribute beta numeric
@attribute a_b numeric
@attribute b_c numeric
@attribute a_c numeric
@attribute ecn_bond_dist_Al-O numeric
@attribute ecn_bond_dist_Ga-O numeric
@attribute ecn_bond_dist_In-O numeric
@attribute Unnamed: 23 numeric
@attribute Unnamed: 24 numeric
@attribute Ef numeric
@attribute ngram_predE numeric
@attribute abs_error numeric
@attribute error numeric
@attribute sq_error numeric
@attribute norm_abs_error numeric
@attribute sum_Ef_and_normalized_error numeric
@attribute sum_pred_Ef_and_abs_error numeric
@data
1,80,0.1875,0.46875,0.34375,11.44184319,10.53806824,9.636107541,9.014119971,89.9997186,90.00060116,90.00029582,1.093602183,1.069001475,1.169062346,1.929609048,1.906606014,1.894562655,,,0.2284,0.2379923,0.009592299999999998,0.009592299999999998,9.201221928999996e-05,0.0419978108581436,0.27999011085814357,0.2475846
2,80,0.75,0.25,0.0,9.599033817999999,9.893821445,9.129793555,8.501439815,90.00381777,90.00157689,90.00236558,1.0836851220000001,1.07391145,1.163781861,1.7962327930000002,1.7962285519999999,0.0,,,0.0591,0.062719945,0.0036199449999999994,0.0036199449999999994,1.3104001803024996e-05,0.061251184433164116,0.12397112943316412,0.06633989
3,30,0.666666667,0.166666667,0.166666667,9.654028289,13.47991219,4.9810648539999995,4.980771717,120.0014788,89.98999962,90.010937,2.7062310139999997,1.0000588540000002,2.7063902860000004,1.937362241,1.937398621,1.937325865,,,0.1763,0.166644695,0.009655305000000003,-0.009655305000000003,9.322491464302506e-05,0.0547663357912649,0.2214110307912649,0.1763
4,80,0.5625,0.4375,0.0,10.22654571,24.33704809,6.00908078,5.761986397,89.99949258,103.8581078,90.00022959,4.050045087,1.042883542,4.223725364,1.864728294,1.8772722290000001,0.0,,,0.0389,0.039963592,0.001063592000000002,0.001063592000000002,1.1312279424640044e-06,0.02734169665809774,0.06730528865809773,0.041027184
5,80,0.1875,0.5,0.3125,11.54994259,24.64428267,6.29062899,6.1588682189999995,90.00003043,104.59296859999999,90.0001276,3.917618208,1.021393666,4.001430424,1.906420315,1.913211596,1.930325624,,,0.147,0.137221068,0.00977893199999999,-0.00977893199999999,9.56275110606238e-05,0.06652334693877544,0.20374441493877543,0.147
6,40,1.0,0.0,0.0,9.276486157999999,9.034389263,8.401775584,4.888477483,90.00129912,90.0024096,90.00610793,1.0752952359999999,1.718689636,1.8480987780000002,1.775664145,0.0,0.0,,,0.0423,0.045321339,0.003021339000000005,0.003021339000000005,9.128489352921028e-06,0.07142645390070934,0.11674779290070934,0.04834267800000001
7,30,0.333333333,0.666666667,0.0,9.624292309,13.4593253,4.977225563,4.976814077,120.00054240000001,89.995212,90.00617042,2.7041823060000003,1.0000826809999999,2.704405889,1.9356239119999998,1.935623909,0.0,,,0.0689,0.075453407,0.006553406999999997,0.006553406999999997,4.2947143307648965e-05,0.09511476052249633,0.17056816752249632,0.082006814
8,80,0.1875,0.6875,0.125,10.73991325,10.29545153,9.450526229,8.830582872,89.99885189,90.00135218,90.00143421,1.0894051059999998,1.070204127,1.16588584,1.8663016080000001,1.8652534109999999,1.868726736,,,0.1371,0.132216174,0.004883826000000008,-0.004883826000000008,2.3851756398276075e-05,0.03562236323851209,0.16783853723851208,0.1371
9,80,0.3125,0.6875,0.0,10.18138122,10.09837286,9.296770363,8.675872899,89.99957546,90.00193072,90.00211323,1.08622376,1.071565994,1.163960443,1.808516494,1.843011045,0.0,,,0.073,0.07180544900000001,0.0011945509999999882,-0.0011945509999999882,1.4269520916009716e-06,0.01636371232876696,0.08816916132876697,0.073
10,80,0.75,0.0,0.25,10.08950929,9.311076111,9.310829675,9.310473611,90.00164172,89.99932838,90.00266602,1.000026468,1.0000382429999999,1.0000647120000001,1.966934224,0.0,1.975596645,,,0.2529,0.24324444,0.009655560000000007,-0.009655560000000007,9.322983891360014e-05,0.03817935943060501,0.281423799430605,0.2529
12,30,0.25,0.666666667,0.083333333,9.971685512,13.59432975,5.041048332,5.040606716,120.000469,89.99673186,90.00445672,2.6967267230000003,1.000087612,2.696962988,1.95934718,1.9593601619999998,1.9593990490000002,,,0.1214,0.120860742,0.0005392580000000008,-0.0005392580000000008,2.9079919056400087e-07,0.004441993410214175,0.12530273541021417,0.1214
13,80,0.25,0.3125,0.4375,11.62960266,24.47333092,6.625338113,6.624993291,119.9913384,90.01040947,90.00328788,3.693899164,1.000052049,3.694091427,2.04795565,2.047839909,2.0479060469999997,,,0.3244,0.332251682,0.007851681999999971,0.007851681999999971,6.164891022912355e-05,0.024203705302096087,0.3564553873020961,0.34010336399999996
14,40,0.4375,0.5625,0.0,10.33929438,14.22967985,9.975772166,5.776534014,30.29262659,90.72965421,90.84782701,1.426423901,1.726947706,2.463359484,1.981394335,1.9268227009999999,0.0,,,0.0903,0.07540485,0.01489515000000001,-0.01489515000000001,0.00022186549352250028,0.16495182724252502,0.24035667724252502,0.0903
15,80,0.03125,0.09375,0.875,13.13471178,10.16660805,10.16641646,10.16638512,89.99876531,90.00091285,90.00087629999999,1.000018845,1.000003083,1.000021928,2.1429898130000002,2.15243703,2.150079793,,,0.0624,0.074719778,0.012319778000000003,0.012319778000000003,0.0001517769299692841,0.1974323397435898,0.2721521177435898,0.087039556
