id,Natoms,percent_atom_al,percent_atom_ga,percent_atom_in,vol_per_atom,a,b,c,alpha,gamma,beta,a_b,b_c,a_c,ecn_bond_dist_Al-O,ecn_bond_dist_Ga-O,ecn_bond_dist_In-O,Unnamed: 23,Unnamed: 24,Ef,ngram_predE,abs_error,error,sq_error,norm_abs_error,sum_Ef_and_normalized_error,sum_pred_Ef_and_abs_error
1,80,0.1875,0.46875,0.34375,11.44184319,10.53806824,9.636107541,9.014119971,89.9997186,90.00060116,90.00029582,1.093602183,1.069001475,1.169062346,1.929609048,1.906606014,1.894562655,,,0.2284,0.2379923,0.009592299999999998,0.009592299999999998,9.201221928999996e-05,0.0419978108581436,0.27999011085814357,0.2475846
3,30,0.666666667,0.166666667,0.166666667,9.654028289,13.47991219,4.9810648539999995,4.980771717,120.0014788,89.98999962,90.010937,2.7062310139999997,1.0000588540000002,2.7063902860000004,1.937362241,1.937398621,1.937325865,,,0.1763,0.166644695,0.009655305000000003,-0.009655305000000003,9.322491464302506e-05,0.0547663357912649,0.2214110307912649,0.1763
4,80,0.5625,0.4375,0.0,10.22654571,24.33704809,6.00908078,5.761986397,89.99949258,103.8581078,90.00022959,4.050045087,1.042883542,4.223725364,1.864728294,1.8772722290000001,0.0,,,0.0389,0.039963592,0.001063592000000002,0.001063592000000002,1.1312279424640044e-06,0.02734169665809774,0.06730528865809773,0.041027184
7,30,0.333333333,0.666666667,0.0,9.624292309,13.4593253,4.977225563,4.976814077,120.00054240000001,89.995212,90.00617042,2.7041823060000003,1.0000826809999999,2.704405889,1.9356239119999998,1.935623909,0.0,,,0.0689,0.075453407,0.006553406999999997,0.006553406999999997,4.2947143307648965e-05,0.09511476052249633,0.17056816752249632,0.082006814
8,80,0.1875,0.6875,0.125,10.73991325,10.29545153,9.450526229,8.830582872,89.99885189,90.00135218,90.00143421,1.0894051059999998,1.070204127,1.16588584,1.8663016080000001,1.8652534109999999,1.868726736,,,0.1371,0.132216174,0.004883826000000008,-0.004883826000000008,2.3851756398276075e-05,0.03562236323851209,0.16783853723851208,0.1371
9,80,0.3125,0.6875,0.0,10.18138122,10.09837286,9.296770363,8.675872899,89.99957546,90.00193072,90.00211323,1.08622376,1.071565994,1.163960443,1.808516494,1.843011045,0.0,,,0.073,0.07180544900000001,0.0011945509999999882,-0.0011945509999999882,1.4269520916009716e-06,0.01636371232876696,0.08816916132876697,0.073
10,80,0.75,0.0,0.25,10.08950929,9.311076111,9.310829675,9.310473611,90.00164172,89.99932838,90.00266602,1.000026468,1.0000382429999999,1.0000647120000001,1.966934224,0.0,1.975596645,,,0.2529,0.24324444,0.009655560000000007,-0.009655560000000007,9.322983891360014e-05,0.03817935943060501,0.281423799430605,0.2529
11,30,0.166666667,0.5,0.333333333,10.82519998,13.91621027,5.191274541,5.190803358,120.00063519999999,89.99797036,90.00236375,2.680692412,1.000090773,2.680935745,2.015371106,2.015349065,2.015338045,,,0.2144,0.17439895600000002,0.040001043999999986,-0.040001043999999986,0.0016000835210899348,0.18657203358208949,0.3609709895820895,0.2144
12,30,0.25,0.666666667,0.083333333,9.971685512,13.59432975,5.041048332,5.040606716,120.000469,89.99673186,90.00445672,2.6967267230000003,1.000087612,2.696962988,1.95934718,1.9593601619999998,1.9593990490000002,,,0.1214,0.120860742,0.0005392580000000008,-0.0005392580000000008,2.9079919056400087e-07,0.004441993410214175,0.12530273541021417,0.1214
13,80,0.25,0.3125,0.4375,11.62960266,24.47333092,6.625338113,6.624993291,119.9913384,90.01040947,90.00328788,3.693899164,1.000052049,3.694091427,2.04795565,2.047839909,2.0479060469999997,,,0.3244,0.332251682,0.007851681999999971,0.007851681999999971,6.164891022912355e-05,0.024203705302096087,0.3564553873020961,0.34010336399999996
14,40,0.4375,0.5625,0.0,10.33929438,14.22967985,9.975772166,5.776534014,30.29262659,90.72965421,90.84782701,1.426423901,1.726947706,2.463359484,1.981394335,1.9268227009999999,0.0,,,0.0903,0.07540485,0.01489515000000001,-0.01489515000000001,0.00022186549352250028,0.16495182724252502,0.24035667724252502,0.0903
15,80,0.03125,0.09375,0.875,13.13471178,10.16660805,10.16641646,10.16638512,89.99876531,90.00091285,90.00087629999999,1.000018845,1.000003083,1.000021928,2.1429898130000002,2.15243703,2.150079793,,,0.0624,0.074719778,0.012319778000000003,0.012319778000000003,0.0001517769299692841,0.1974323397435898,0.2721521177435898,0.087039556
16,80,0.9375,0.03125,0.03125,9.484678083,23.4342707,6.114940467,6.114525225,120.00553670000001,90.00721772,90.0037332,3.83229744,1.000067911,3.832557695,1.8898923090000002,2.03299476,2.03299476,,,0.2129,0.214437737,0.0015377369999999835,0.0015377369999999835,2.364635081168949e-06,0.007222813527477611,0.2216605505274776,0.21597547399999997
17,80,0.25,0.375,0.375,11.16761511,9.631398555,9.631215675,9.631190286,90.00285717,90.00289092,89.99676425,1.0000189879999999,1.0000026359999998,1.0000216240000002,2.036866564,2.0346286630000003,2.039101876,,,0.1877,0.208814182,0.02111418199999998,0.02111418199999998,0.0004458086815291232,0.11248898241875323,0.32130316441875323,0.22992836399999997
18,80,0.4375,0.3125,0.25,10.52141909,9.442010062,9.441717651,9.441670513,90.00291866,89.99716821,90.00322663,1.00003097,1.000004993,1.000035963,1.995858605,1.995474565,2.000087057,,,0.217,0.212477766,0.004522233999999986,-0.004522233999999986,2.0450600350755873e-05,0.020839788018433114,0.23331755401843313,0.217
19,80,0.53125,0.03125,0.4375,11.22302702,24.2617205,6.536954248,6.536524367,119.9941226,90.01585993,90.01259008,3.71147167,1.0000657659999999,3.7117157589999996,2.077170076,1.886855924,1.963851049,,,0.3406,0.491632134,0.15103213399999998,0.15103213399999998,0.022810705500593952,0.4434296359365824,0.9350617699365824,0.642664268
20,80,0.25,0.28125,0.46875,11.88328344,24.53807496,6.36030134,6.306635194,90.00000268,105.016305,90.00011907,3.858005093,1.008509474,3.890834685,1.922197247,1.909852671,1.918317523,,,0.2267,0.23768215399999998,0.010982153999999966,0.010982153999999966,0.00012060770647971526,0.048443555359505806,0.28612570935950576,0.24866430799999995
22,80,0.59375,0.28125,0.125,10.1786163,10.10550893,9.295464404,8.668609687,90.00286445,90.00122796,90.00190259,1.0871440620000001,1.072313178,1.165758904,1.846009882,1.806331708,1.826835393,,,0.1436,0.129752376,0.013847624000000003,-0.013847624000000003,0.00019175669044537607,0.09643192200557105,0.22618429800557105,0.1436
23,80,0.34375,0.28125,0.375,11.49753965,24.46537383,6.28116951,6.191199181,89.99986972,104.8096343,90.00014540000001,3.8950348010000004,1.014531971,3.951637335,1.89838974,1.89046421,1.9247138209999999,,,0.127,0.12154870400000001,0.005451295999999994,-0.005451295999999994,2.971662807961594e-05,0.04292359055118106,0.16447229455118106,0.127
24,80,0.75,0.09375,0.15625,10.0617795,10.06712591,9.26234026,8.632539077999999,90.00447188,90.00106576,90.00194473,1.086887938,1.072956656,1.166183648,1.823433272,1.836901034,1.8281913890000001,,,0.2016,0.20004798899999998,0.0015520110000000198,-0.0015520110000000198,2.4087381441210615e-06,0.00769846726190486,0.20774645626190485,0.2016
25,80,0.34375,0.65625,0.0,10.51355203,24.56436456,6.07129481,5.806790959,89.99975675,103.7800013,90.00019342,4.045984478,1.045550779,4.230282222,1.874468883,1.895060954,0.0,,,0.0297,0.031712975,0.0020129749999999967,0.0020129749999999967,4.052068350624987e-06,0.06777693602693591,0.09948991102693591,0.03372594999999999
26,80,0.0,0.25,0.75,13.03547493,24.7237663,6.646894016,6.58880912,90.00034821,90.00004771,105.61084679999999,3.7195968880000003,1.00881569,3.7523877,0.0,1.946621198,1.9472213980000002,,,0.1281,0.130367953,0.002267953000000017,0.002267953000000017,5.143610810209077e-06,0.017704551131928314,0.14807250413192832,0.13263590600000003
27,80,0.28125,0.15625,0.5625,12.03092789,10.73687961,9.785905639,9.160306471,90.00143056,90.00039324,89.99923391,1.097177922,1.0682945670000001,1.172109213,1.949465521,1.922941684,1.939944687,,,0.2643,0.279958462,0.01565846200000004,0.01565846200000004,0.0002451874322054452,0.05924503216042391,0.33920349416042395,0.29561692400000006
30,30,0.333333333,0.166666667,0.5,11.0963793,14.019945499999999,5.236398118,5.2359857419999996,120.00121000000001,89.99525994,90.00458268,2.677402517,1.000078758,2.6776133840000003,2.032357845,2.032330461,2.032421734,,,0.2301,0.224004923,0.006095077000000004,-0.006095077000000004,3.7149963635929054e-05,0.026488817905258602,0.2504937409052586,0.2301
31,40,0.1875,0.0625,0.75,12.82525339,9.980773093,9.355035529,5.494350016,90.00034219,89.99777278,90.00109958,1.066887781,1.702664647,1.8165521059999998,2.0144605980000003,2.027686267,1.9710699180000002,,,0.2622,0.259684413,0.002515586999999986,-0.002515586999999986,6.328177954568928e-06,0.00959415331807775,0.26927856631807773,0.2622
32,80,0.375,0.34375,0.28125,11.20497401,24.45764165,6.21981312,6.088557852999999,89.99980585,104.5747942,90.00016196,3.932214872,1.021557694,4.016984357,1.900470611,1.884623306,1.91983954,,,0.1363,0.136309722,9.721999999989794e-06,9.721999999989794e-06,9.451728399980156e-11,7.132795304467934e-05,0.13638104995304468,0.13631944399999998
33,80,0.0,0.75,0.25,11.40987419,24.4204421,6.569428112000001,6.569302627000001,119.9908392,89.99482624,90.00394408,3.71728584,1.000019102,3.717356847,0.0,1.986998883,2.168237971,,,0.1027,0.101383285,0.001316714999999996,-0.001316714999999996,1.7337383912249898e-06,0.012820983446932777,0.11420426844693278,0.1027
34,80,0.40625,0.21875,0.375,11.4099298,24.400415300000002,6.26339407,6.178474797000001,89.99979795,104.8310905,90.00015551,3.895717725,1.013744375,3.94926193,1.8856650590000001,1.8967494130000002,1.919431285,,,0.1599,0.150701482,0.009198517999999989,-0.009198517999999989,8.46127333963238e-05,0.05752669168230137,0.20822817368230137,0.1599
35,80,0.03125,0.03125,0.9375,13.35076759,10.22208617,10.22184173,10.22180362,89.99918966,90.00060396,90.00060273,1.000023914,1.000003728,1.000027642,2.154671974,2.154671974,2.162284804,,,0.039,0.049517299,0.010517299,0.010517299,0.00011061357825540102,0.26967433333333335,0.31919163233333336,0.060034598
36,80,0.0625,0.0,0.9375,13.70538083,11.25513759,10.1875789,9.562232566,90.00040514,90.00038499,89.99603213,1.104790225,1.065397524,1.177040771,1.996929982,0.0,2.029321698,,,0.2113,0.215451842,0.004151842000000017,0.004151842000000017,1.723779199296414e-05,0.019649039280643713,0.23510088128064371,0.21960368400000002
37,30,0.75,0.083333333,0.166666667,9.544726419,13.43834207,4.960431891,4.960168635,120.00166329999999,89.98858334,90.01230993,2.7091072639999996,1.000053074,2.709251047,1.929739122,1.929767934,1.9297031180000002,,,0.1702,0.166136702,0.004063297999999993,-0.004063297999999993,1.6510390636803943e-05,0.023873666274970583,0.1900103682749706,0.1702
38,60,0.0,0.583333333,0.41666666700000005,11.32220954,14.09279273,10.5515239,5.275232625,120.00041940000001,90.0001863,89.99962079,1.335616814,2.000200683,2.671501663,0.0,2.049702639,2.049701853,,,0.1592,0.145146514,0.014053486000000004,-0.014053486000000004,0.0001975004687521961,0.08827566582914576,0.23342217982914576,0.1592
