id,Natoms,percent_atom_al,percent_atom_ga,percent_atom_in,vol_per_atom,a,b,c,alpha,beta,gamma,a_b,b_c,a_c,ecn_bond_dist_Al-Ga,ecn_bond_dist_Al-In,ecn_bond_dist_Al-O,ecn_bond_dist_Ga-Al,ecn_bond_dist_Ga-In,ecn_bond_dist_Ga-O,ecn_bond_dist_In-Al,ecn_bond_dist_In-Ga,ecn_bond_dist_In-O,ecn_bond_dist_O-Al,ecn_bond_dist_O-Ga,ecn_bond_dist_O-In,Ef,soap_predE,abs_error,error,sq_error,norm_abs_error,sum_Ef_and_normalized_error,sum_pred_Ef_and_abs_error
1,80,0.1875,0.46875,0.34375,11.44184319,10.53806824,9.636107541,9.014119971,89.9997186,90.00060116,90.00029582,1.093602183,1.069001475,1.169062346,3.129306068,3.279839111,1.929609048,3.27676679,3.317035175,1.906606014,3.314568321,3.241823202,1.894562655,1.19444015,1.800664587,1.384024981,0.2284,0.24018281,0.01178281,0.01178281,0.000138834611496,0.0515884851138,0.291771295114,0.25196562
2,80,0.75,0.25,0.0,9.599033818,9.893821445,9.129793555,8.501439815,90.00381777,90.00157689,90.00236558,1.083685122,1.07391145,1.163781861,3.050626298,0.0,1.796232793,2.951190239,0.0,1.796228552,0.0,0.0,0.0,1.84303484,1.22793466,0.0,0.0591,0.05298044,0.00611956,-0.00611956,3.74490145936e-05,0.103545854484,0.156526294484,0.0591
3,30,0.666666667,0.166666667,0.166666667,9.654028289,13.47991219,4.981064854,4.980771717,120.0014788,89.98999962,90.010937,2.706231014,1.000058854,2.706390286,1.074261978,2.442610609,1.937362241,2.837050916,3.05730711,1.937398621,2.837050916,3.05730711,1.937325865,1.976723423,1.330974207,1.330974204,0.1763,0.15501696,0.02128304,-0.02128304,0.000452967791642,0.120720589904,0.275737549904,0.1763
5,80,0.1875,0.5,0.3125,11.54994259,24.64428267,6.29062899,6.158868219,90.00003043,104.5929686,90.0001276,3.917618208,1.021393666,4.001430424,3.183124436,3.390086892,1.906420315,2.455953849,3.297044913,1.913211596,3.396728388,3.224584543,1.930325624,0.98013503,1.793225826,1.460469427,0.147,0.14409196,0.00290804,-0.00290804,8.4566966416e-06,0.019782585034,0.163874545034,0.147
6,40,1.0,0.0,0.0,9.276486158,9.034389263,8.401775584,4.888477483,90.00129912,90.0024096,90.00610793,1.075295236,1.718689636,1.848098778,0.0,0.0,1.775664145,0.0,0.0,0.0,0.0,0.0,0.0,1.802762108,0.0,0.0,0.0423,0.04551858,0.00321858,0.00321858,1.03592572164e-05,0.0760893617021,0.121607941702,0.04873716
7,30,0.333333333,0.666666667,0.0,9.624292309,13.4593253,4.977225563,4.976814077,120.0005424,89.995212,90.00617042,2.704182306,1.000082681,2.704405889,2.833783047,0.0,1.935623912,2.620920823,0.0,1.935623909,0.0,0.0,0.0,1.974830805,1.935678699,0.0,0.0689,0.06856953,0.00033047,-0.00033047,1.092104209e-07,0.00479637155298,0.073365901553,0.0689
9,80,0.3125,0.6875,0.0,10.18138122,10.09837286,9.296770363,8.675872899,89.99957546,90.00193072,90.00211323,1.08622376,1.071565994,1.163960443,3.054100009,0.0,1.808516494,3.1558065,0.0,1.843011045,0.0,0.0,0.0,1.547328962,1.861450469,0.0,0.073,0.07553876,0.00253876,0.00253876,6.4453023376e-06,0.0347775342466,0.110316294247,0.07807752
10,80,0.75,0.0,0.25,10.08950929,9.311076111,9.310829675,9.310473611,90.00164172,89.99932838,90.00266602,1.000026468,1.000038243,1.000064712,0.0,3.007096789,1.966934224,0.0,0.0,0.0,3.084260876,0.0,1.975596645,1.969209719,0.0,1.155696422,0.2529,0.26116304,0.00826304,0.00826304,6.82778300416e-05,0.0326731514433,0.293836191443,0.26942608
13,80,0.25,0.3125,0.4375,11.62960266,24.47333092,6.625338113,6.624993291,119.9913384,90.01040947,90.00328788,3.693899164,1.000052049,3.694091427,3.460173664,3.312561299,2.04795565,3.128910977,3.430567886,2.047839909,3.439041499,3.397057295,2.047906047,1.278602272,1.345197283,1.952600282,0.3244,0.31970357,0.00469643,-0.00469643,2.20564547449e-05,0.0144772811344,0.334180851134,0.3244
14,40,0.4375,0.5625,0.0,10.33929438,14.22967985,9.975772166,5.776534014,30.29262659,90.72965421,90.84782701,1.426423901,1.726947706,2.463359484,2.965298519,0.0,1.981394335,3.110911479,0.0,1.926822701,0.0,0.0,0.0,1.898698503,1.649474112,0.0,0.0903,0.13646796,0.04616796,0.04616796,0.00213148053056,0.511273089701,0.647741049701,0.18263592
