id,Natoms,percent_atom_al,percent_atom_ga,percent_atom_in,vol_per_atom,a,b,c,alpha,gamma,beta,a_b,b_c,a_c,ecn_bond_dist_Al-O,ecn_bond_dist_Ga-O,ecn_bond_dist_In-O,Unnamed: 23,Unnamed: 24,Ef,soap_predE,abs_error,error,sq_error,norm_abs_error,sum_Ef_and_normalized_error,sum_pred_Ef_and_abs_error
1,80,0.1875,0.46875,0.34375,11.44184319,10.53806824,9.636107541,9.014119971,89.9997186,90.00060116,90.00029582,1.093602183,1.069001475,1.169062346,1.929609048,1.906606014,1.894562655,,,0.2284,0.24018281,0.011782810000000005,0.011782810000000005,0.0001388346114961001,0.051588485113835396,0.29177129511383537,0.25196562
2,80,0.75,0.25,0.0,9.599033817999999,9.893821445,9.129793555,8.501439815,90.00381777,90.00157689,90.00236558,1.0836851220000001,1.07391145,1.163781861,1.7962327930000002,1.7962285519999999,0.0,,,0.0591,0.05298044,0.006119560000000003,-0.006119560000000003,3.744901459360004e-05,0.1035458544839256,0.1565262944839256,0.0591
3,30,0.666666667,0.166666667,0.166666667,9.654028289,13.47991219,4.9810648539999995,4.980771717,120.0014788,89.98999962,90.010937,2.7062310139999997,1.0000588540000002,2.7063902860000004,1.937362241,1.937398621,1.937325865,,,0.1763,0.15501696,0.021283040000000003,-0.021283040000000003,0.0004529677916416001,0.12072058990357347,0.27573754990357346,0.1763
4,80,0.5625,0.4375,0.0,10.22654571,24.33704809,6.00908078,5.761986397,89.99949258,103.8581078,90.00022959,4.050045087,1.042883542,4.223725364,1.864728294,1.8772722290000001,0.0,,,0.0389,0.0385601,0.00033989999999999715,-0.00033989999999999715,1.1553200999999806e-07,0.00873778920308476,0.04729788920308476,0.0389
5,80,0.1875,0.5,0.3125,11.54994259,24.64428267,6.29062899,6.1588682189999995,90.00003043,104.59296859999999,90.0001276,3.917618208,1.021393666,4.001430424,1.906420315,1.913211596,1.930325624,,,0.147,0.14409196,0.0029080400000000006,-0.0029080400000000006,8.456696641600004e-06,0.01978258503401361,0.1638745450340136,0.147
6,40,1.0,0.0,0.0,9.276486157999999,9.034389263,8.401775584,4.888477483,90.00129912,90.0024096,90.00610793,1.0752952359999999,1.718689636,1.8480987780000002,1.775664145,0.0,0.0,,,0.0423,0.04551858,0.0032185800000000056,0.0032185800000000056,1.0359257216400037e-05,0.0760893617021278,0.1216079417021278,0.04873716000000001
7,30,0.333333333,0.666666667,0.0,9.624292309,13.4593253,4.977225563,4.976814077,120.00054240000001,89.995212,90.00617042,2.7041823060000003,1.0000826809999999,2.704405889,1.9356239119999998,1.935623909,0.0,,,0.0689,0.06856953,0.0003304699999999994,-0.0003304699999999994,1.0921042089999958e-07,0.004796371552975317,0.07336590155297532,0.0689
8,80,0.1875,0.6875,0.125,10.73991325,10.29545153,9.450526229,8.830582872,89.99885189,90.00135218,90.00143421,1.0894051059999998,1.070204127,1.16588584,1.8663016080000001,1.8652534109999999,1.868726736,,,0.1371,0.13462901,0.0024709900000000062,-0.0024709900000000062,6.105791580100031e-06,0.018023267687819155,0.15265227768781914,0.1371
10,80,0.75,0.0,0.25,10.08950929,9.311076111,9.310829675,9.310473611,90.00164172,89.99932838,90.00266602,1.000026468,1.0000382429999999,1.0000647120000001,1.966934224,0.0,1.975596645,,,0.2529,0.26116304,0.00826304,0.00826304,6.827783004159998e-05,0.0326731514432582,0.29383619144325823,0.26942608
11,30,0.166666667,0.5,0.333333333,10.82519998,13.91621027,5.191274541,5.190803358,120.00063519999999,89.99797036,90.00236375,2.680692412,1.000090773,2.680935745,2.015371106,2.015349065,2.015338045,,,0.2144,0.20759643,0.006803570000000009,-0.006803570000000009,4.628856474490012e-05,0.031733069029850784,0.2393294990298508,0.2144
12,30,0.25,0.666666667,0.083333333,9.971685512,13.59432975,5.041048332,5.040606716,120.000469,89.99673186,90.00445672,2.6967267230000003,1.000087612,2.696962988,1.95934718,1.9593601619999998,1.9593990490000002,,,0.1214,0.11639953,0.005000469999999993,-0.005000469999999993,2.500470022089993e-05,0.0411900329489291,0.15758956294892912,0.1214
13,80,0.25,0.3125,0.4375,11.62960266,24.47333092,6.625338113,6.624993291,119.9913384,90.01040947,90.00328788,3.693899164,1.000052049,3.694091427,2.04795565,2.047839909,2.0479060469999997,,,0.3244,0.31970357,0.004696430000000029,-0.004696430000000029,2.2056454744900275e-05,0.014477281134402062,0.33418085113440205,0.3244
15,80,0.03125,0.09375,0.875,13.13471178,10.16660805,10.16641646,10.16638512,89.99876531,90.00091285,90.00087629999999,1.000018845,1.000003083,1.000021928,2.1429898130000002,2.15243703,2.150079793,,,0.0624,0.0597423,0.002657699999999999,-0.002657699999999999,7.063369289999994e-06,0.04259134615384614,0.10233364615384613,0.0624
16,80,0.9375,0.03125,0.03125,9.484678083,23.4342707,6.114940467,6.114525225,120.00553670000001,90.00721772,90.0037332,3.83229744,1.000067911,3.832557695,1.8898923090000002,2.03299476,2.03299476,,,0.2129,0.22307706,0.010177059999999988,0.010177059999999988,0.00010357255024359975,0.04780206669798021,0.2708791266979802,0.23325411999999998
17,80,0.25,0.375,0.375,11.16761511,9.631398555,9.631215675,9.631190286,90.00285717,90.00289092,89.99676425,1.0000189879999999,1.0000026359999998,1.0000216240000002,2.036866564,2.0346286630000003,2.039101876,,,0.1877,0.20437132,0.01667131999999999,0.01667131999999999,0.00027793291054239967,0.08881896643580175,0.29319028643580175,0.22104263999999998
20,80,0.25,0.28125,0.46875,11.88328344,24.53807496,6.36030134,6.306635194,90.00000268,105.016305,90.00011907,3.858005093,1.008509474,3.890834685,1.922197247,1.909852671,1.918317523,,,0.2267,0.21050426,0.016195740000000014,-0.016195740000000014,0.00026230199414760045,0.07144128804587567,0.2819455480458757,0.2267
21,40,0.0,0.875,0.125,11.00580623,9.522099869,8.905346959,5.1915647819999995,90.00137072,90.00116567,89.9969272,1.069256472,1.7153492890000002,1.834148329,0.0,1.88312843,1.8686276259999999,,,0.0819,0.07750717,0.00439283,-0.00439283,1.9296955408900004e-05,0.05363650793650794,0.13114367793650794,0.0819
22,80,0.59375,0.28125,0.125,10.1786163,10.10550893,9.295464404,8.668609687,90.00286445,90.00122796,90.00190259,1.0871440620000001,1.072313178,1.165758904,1.846009882,1.806331708,1.826835393,,,0.1436,0.14049128,0.0031087200000000093,-0.0031087200000000093,9.664140038400058e-06,0.02164846796657388,0.16213974796657388,0.1436
23,80,0.34375,0.28125,0.375,11.49753965,24.46537383,6.28116951,6.191199181,89.99986972,104.8096343,90.00014540000001,3.8950348010000004,1.014531971,3.951637335,1.89838974,1.89046421,1.9247138209999999,,,0.127,0.13997327,0.012973270000000009,0.012973270000000009,0.00016830573449290023,0.10215173228346464,0.24212500228346465,0.15294654000000002
24,80,0.75,0.09375,0.15625,10.0617795,10.06712591,9.26234026,8.632539077999999,90.00447188,90.00106576,90.00194473,1.086887938,1.072956656,1.166183648,1.823433272,1.836901034,1.8281913890000001,,,0.2016,0.1917469,0.009853100000000004,-0.009853100000000004,9.708357961000007e-05,0.048874503968253984,0.240621403968254,0.2016
25,80,0.34375,0.65625,0.0,10.51355203,24.56436456,6.07129481,5.806790959,89.99975675,103.7800013,90.00019342,4.045984478,1.045550779,4.230282222,1.874468883,1.895060954,0.0,,,0.0297,0.02628643,0.003413570000000001,-0.003413570000000001,1.1652460144900008e-05,0.11493501683501688,0.14122144683501686,0.0297
26,80,0.0,0.25,0.75,13.03547493,24.7237663,6.646894016,6.58880912,90.00034821,90.00004771,105.61084679999999,3.7195968880000003,1.00881569,3.7523877,0.0,1.946621198,1.9472213980000002,,,0.1281,0.13633917,0.008239170000000018,0.008239170000000018,6.78839222889003e-05,0.06431826697892286,0.20065743697892285,0.14457834000000003
